word,metric value,rank
singer,4.5,1
uncle,3.3,2
jeweler,2.5,3
dialogue,2.2976973684210527,4
degree,2.1013986013986012,5
lyrics,1.9821428571428572,6
angel,1.75,7
room,1.2941176470588236,8
seat,1.2735242548217416,9
assembly,1.1160714285714286,10
school,0.8012820512820513,11
driver,0.8,12
superstar,0.6875,13
officer,0.674074074074074,14
journalist,0.6538461538461539,15
farmer,0.6,16
request,0.5857142857142856,17
anthem,0.5714285714285714,18
scene,0.55,19
car,0.5166666666666666,20
doctor,0.45751633986928103,21
house,0.41379310344827586,22
college,0.4117647058823529,23
title,0.4017857142857143,24
traffic,0.3875,25
candidate,0.38095238095238093,26
parliament,0.35599078341013823,27
vacation,0.35294117647058826,28
cool,0.3492943548387097,29
politics,0.3486426767676768,30
class,0.34789915966386553,31
judge,0.3333333333333333,32
friend,0.32863849765258213,33
toilet,0.32291666666666663,34
university,0.31726190476190474,35
road,0.3128342245989305,36
god,0.3093404085358895,37
body,0.30434782608695654,38
defense,0.2857142857142857,39
president,0.2761904761904762,40
hall,0.2727272727272727,41
luck,0.26712328767123283,42
group,0.265,43
day,0.25961598992760465,44
shoot,0.23809523809523808,45
town,0.23076923076923078,46
boy,0.18698121450415028,47
society,0.18181818181818182,48
reason,0.16363636363636364,49
guy,0.14833413040012752,50
week,0.1393939393939394,51
press,0.13392857142857142,52
play,0.12768625648098486,53
cancer,0.12698412698412698,54
service,0.12507817385866166,55
magic,0.11942959001782531,56
question,0.11850311850311851,57
blue,0.11369509043927647,58
performance,0.10578512396694215,59
woman,0.10526315789473684,60
money,0.09752321981424147,61
people,0.09072235535775419,62
wrong,0.08850250626566417,63
moments,0.07216494845360824,64
matter,0.0373864430468204,65
thing,0.036504130029309884,66
way,0.036117021276595745,67
rest,0.019803921568627453,68
script,0.0,69
writer,0.0,70
